world_rank,university_name,country,teaching,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year,Longitude,Latitude
2,California Institute of Technology,United States of America,97.7,98,99.9,83.7,96,"2,243",6.9,27%,2011,34.139275,-118.12574
3,Massachusetts Institute of Technology,United States of America,97.8,91.4,99.9,87.5,95.6,"11,074",9,33%,2011,42.360095,-71.092115
4,Stanford University,United States of America,98.3,98.1,99.2,64.3,94.3,"15,596",7.8,22%,2011,37.426967,-122.168826
13,Johns Hopkins University,United States of America,80.9,89.2,92.3,100,86.4,"15,128",3.6,23%,2011,39.32838,-76.620799
14,Cornell University,United States of America,82.2,88.8,88.1,34.7,83.9,"21,424",10.2,19%,2011,42.447199,-76.483489
15,University of Michigan,United States of America,83.9,89.1,84.1,59.6,83.4,"41,786",9,16%,2011,42.276061,-83.743121
19,University of Pennsylvania,United States of America,71.8,82.7,93.6,43.7,79.5,"20,376",6.5,20%,2011,41.496219,-75.683551
20,Carnegie Mellon University,United States of America,70.3,79.3,95.7,53.7,79.3,"11,885",13.1,35%,2011,40.444616,-79.942914
23,University of Washington,United States of America,68.2,77.1,95.9,32.8,78,"44,020",11.8,13%,2011,47.656213,-122.313115
24,Duke University,United States of America,66.8,71.5,92.3,100,76.5,"15,172",4.8,17%,2011,36.00159,-78.94226
27,Georgia Institute of Technology,United States of America,67.9,72.6,83.2,95.1,75.3,"19,967",20.1,26%,2011,33.773732,-84.396019
29,"University of California, Santa Barbara",United States of America,56.6,68,98.8,89.8,75,"22,020",27.3,11%,2011,34.416281,-119.846404
30,University of North Carolina at Chapel Hill,United States of America,70.9,75.1,85,50.2,73.8,"26,518",7.3,8%,2011,35.912165,-79.050969
32,"University of California, San Diego",United States of America,59.8,76.3,90.8,51.8,73.2,"27,233",6.5,11%,2011,32.876598,-117.237793
47,Rice University,United States of America,57.4,50.6,99.1,29.2,66.9,"6,333",9,26%,2011,29.716485,-95.403625
51,Vanderbilt University,United States of America,64.9,59.5,78.1,84.2,65.9,"12,161",3.6,10%,2011,36.14443,-86.804875
54,"University of California, Davis",United States of America,57.3,70.7,68.8,48,65,"35,364",13.9,13%,2011,38.539895,-121.751958
56,University of Massachusetts,United States of America,61.3,72.6,67.9,53.9,64.7,"56,959",13,11%,2011,42.65372,-71.325081
59,Boston University,United States of America,53.6,51.9,91.4,29.6,64,"24,789",8.6,17%,2011,42.349581,-71.09984
64,University of Pittsburgh,United States of America,58.5,58.3,78.3,37.9,62.7,"26,485",5.8,10%,2011,40.444502,-79.954692
95,University of Arizona,United States of America,52.4,52.2,70.1,84.2,57.3,"36,429",12.7,8%,2011,32.232071,-110.950769
109,Pennsylvania State University,United States of America,46.3,49.2,77.6,44,56,"44,501",12.4,12%,2011,42.120271,-79.986362
117,"University of California, Riverside",United States of America,38.6,47.4,78.3,30.5,55.1,"20,626",22,12%,2011,33.97588,-117.331098
156,Iowa State University,United States of America,49.3,49.6,58.2,49.6,51,"29,991",17.4,11%,2011,42.026368,-93.648353
159,University of Delaware,United States of America,38.4,51.9,61.3,100,50.4,"19,262",15.9,10%,2011,39.6795744,-75.7529169
1,California Institute of Technology,United States of America,95.7,98.2,99.9,97,94.8,"2,243",6.9,27%,2012,34.139275,-118.12574
2,Stanford University,United States of America,94.8,98.9,99.8,63.8,93.9,"15,596",7.8,22%,2012,37.426967,-122.168826
5,Princeton University,United States of America,91.5,99.1,100,81,92.9,"7,929",8.4,27%,2012,40.34853,-74.663603
7,Massachusetts Institute of Technology,United States of America,92.7,87.4,100,94.4,92.3,"11,074",9,33%,2012,42.360095,-71.092115
10,"University of California, Berkeley",United States of America,82.8,99.4,99.4,62.5,89.8,"36,186",16.4,15%,2012,37.871969,-122.260423
11,Yale University,United States of America,92.3,91.2,96.7,34.7,89.1,"11,751",4.4,20%,2012,41.311158,-72.926688
14,Johns Hopkins University,United States of America,78.9,86.5,97.3,100,85.8,"15,128",3.6,23%,2012,39.32838,-76.620799
16,University of Pennsylvania,United States of America,87,86.1,97.9,41.9,84.9,"20,376",6.5,20%,2012,41.496219,-75.683551
18,University of Michigan,United States of America,75.4,90,94.3,53.3,82.8,"41,786",9,16%,2012,42.276061,-83.743121
21,Carnegie Mellon University,United States of America,65.7,79.5,97.4,60.7,78.4,"11,885",13.1,35%,2012,40.444616,-79.942914
22,Duke University,United States of America,62.6,77.9,97.4,100,77.4,"15,172",4.8,17%,2012,36.00159,-78.94226
24,Georgia Institute of Technology,United States of America,66.6,73.8,91.9,99.2,77,"19,967",20.1,26%,2012,33.773732,-84.396019
25,University of Washington,United States of America,70.8,74,98.2,31.8,76.5,"44,020",11.8,13%,2012,47.656213,-122.313115
26,Northwestern University,United States of America,66.3,75.5,98.6,56.6,76.2,"18,334",13.8,15%,2012,42.058377,-87.673653
27,University of Wisconsin-Madison,United States of America,74.3,77.3,90.6,55.3,75.8,"39,655",10.8,11%,2012,43.073858,-89.405356
29,University of Texas at Austin,United States of America,69.5,76.1,89.6,57.7,74.9,"49,427",17.4,9%,2012,30.286598,-97.73924
33,"University of California, San Diego",United States of America,61.4,72,97.8,51.8,73,"27,233",6.5,11%,2012,32.876598,-117.237793
35,"University of California, Santa Barbara",United States of America,55,65.3,99.9,85,72.1,"22,020",27.3,11%,2012,34.416281,-119.846404
38,"University of California, Davis",United States of America,68,68.7,83.4,52.5,71.2,"35,364",13.9,13%,2012,38.539895,-121.751958
43,University of North Carolina at Chapel Hill,United States of America,67.6,62.6,92.6,35.5,69.3,"26,518",7.3,8%,2012,35.912165,-79.050969
44,New York University,United States of America,60.2,65.4,92.3,30.9,69,"42,056",6.8,19%,2012,40.729452,-73.997264
51,Pennsylvania State University,United States of America,53.5,66.7,83.4,61.6,64.9,"44,501",12.4,12%,2012,42.120271,-79.986362
54,Boston University,United States of America,60.7,46.2,95.6,27.6,64.2,"24,789",8.6,17%,2012,42.349581,-71.09984
55,University of Southern California,United States of America,65.8,48.7,80.2,99.3,64,"36,534",12.9,20%,2012,33.662686,-117.900911
