world_rank,university_name,country,teaching,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
2,California Institute of Technology,United States of America,97.7,98,99.9,83.7,96,"2,243",6.9,27%,2011
3,Massachusetts Institute of Technology,United States of America,97.8,91.4,99.9,87.5,95.6,"11,074",9,33%,2011
4,Stanford University,United States of America,98.3,98.1,99.2,64.3,94.3,"15,596",7.8,22%,2011
6,University of Cambridge,United Kingdom,90.5,94.1,94,57,91.2,"18,812",11.8,34%,2011
6,University of Oxford,United Kingdom,88.2,93.9,95.1,73.5,91.2,"19,919",11.6,34%,2011
9,Imperial College London,United Kingdom,89.2,94.5,88.3,92.9,90.6,"15,060",11.7,51%,2011
13,Johns Hopkins University,United States of America,80.9,89.2,92.3,100,86.4,"15,128",3.6,23%,2011
14,Cornell University,United States of America,82.2,88.8,88.1,34.7,83.9,"21,424",10.2,19%,2011
15,University of Michigan,United States of America,83.9,89.1,84.1,59.6,83.4,"41,786",9,16%,2011
19,University of Pennsylvania,United States of America,71.8,82.7,93.6,43.7,79.5,"20,376",6.5,20%,2011
20,Carnegie Mellon University,United States of America,70.3,79.3,95.7,53.7,79.3,"11,885",13.1,35%,2011
21,University of Hong Kong,Hong Kong,68.4,71.4,96.1,56.5,79.2,"19,835",17.6,38%,2011
22,University College London,United Kingdom,74,81.6,80.6,39,78.4,"26,607",10.7,46%,2011
23,University of Washington,United States of America,68.2,77.1,95.9,32.8,78,"44,020",11.8,13%,2011
24,Duke University,United States of America,66.8,71.5,92.3,100,76.5,"15,172",4.8,17%,2011
27,Georgia Institute of Technology,United States of America,67.9,72.6,83.2,95.1,75.3,"19,967",20.1,26%,2011
28,Pohang University of Science and Technology,South Korea,69.5,62.5,96.5,100,75.1,"3,055",10.1,4%,2011
29,"University of California, Santa Barbara",United States of America,56.6,68,98.8,89.8,75,"22,020",27.3,11%,2011
30,University of British Columbia,Canada,65.1,74.8,80.3,42.6,73.8,"50,152",17.6,25%,2011
30,University of North Carolina at Chapel Hill,United States of America,70.9,75.1,85,50.2,73.8,"26,518",7.3,8%,2011
32,"University of California, San Diego",United States of America,59.8,76.3,90.8,51.8,73.2,"27,233",6.5,11%,2011
34,National University of Singapore,Singapore,65.5,72.6,78.7,40.5,72.9,"31,592",15.5,34%,2011
36,University of Melbourne,Australia,58.7,69.2,83.3,47.7,71,"40,128",23.7,35%,2011
40,University of Edinburgh,United Kingdom,59.9,61.9,86.8,42.2,69.2,"25,774",14.1,36%,2011
42,École Normale Supérieure,France,66.8,48.2,95.7,30.7,68.6,"2,400",7.9,20%,2011
43,Karolinska Institute,Sweden,65.8,72.7,62.3,73.3,67,"7,774",11.5,22%,2011
43,University of Göttingen,Germany,57.3,55.9,92.5,31.7,67,"25,581",25.6,12%,2011
47,Rice University,United States of America,57.4,50.6,99.1,29.2,66.9,"6,333",9,26%,2011
48,École Polytechnique Fédérale de Lausanne,Switzerland,55,56.1,83.8,38,66.5,"9,666",10.5,54%,2011
51,Vanderbilt University,United States of America,64.9,59.5,78.1,84.2,65.9,"12,161",3.6,10%,2011
54,"University of California, Davis",United States of America,57.3,70.7,68.8,48,65,"35,364",13.9,13%,2011
56,University of Massachusetts,United States of America,61.3,72.6,67.9,53.9,64.7,"56,959",13,11%,2011
58,Tsinghua University,China,74.9,66.6,52.7,97.8,64.2,"39,763",13.7,10%,2011
59,Boston University,United States of America,53.6,51.9,91.4,29.6,64,"24,789",8.6,17%,2011
